City,Code,1500,1550,1600,1650,1700,1750,1800
BERGEN,1,0,0,0,UNK,UNK,14,17
COPENHAGEN,1,UNK,UNK,UNK,23,70,93,101
GOTEBORG,1,0,0,0,4,6,8,13
KARLSKRONA,1,0,0,0,0,0,5,10
OSLO,1,0,0,0,0,0,7,12
STOCKHOLM,1,0,0,UNK,40,45,60,75
BATH,2,0,0,0,1,3,9,32
BIRMINGHAM,2,0,1,2,4,7,24,69
BLACKBURN,2,0,0,0,0,0,4,12
BOLTON,2,0,0,0,0,0,4,13
BRISTOL,2,10,10,11,20,25,45,64
CAMBRIDGE,2,0,0,0,9,9,6,10
CARLISLE,2,0,0,0,0,4,4,10
CHATHAM,2,0,0,1,0,5,5,11
CHESTER,2,0,0,0,8,10,13,15
COLCHESTER,2,5,0,0,10,10,9,12
COVENTRY,2,7,7,7,7,7,12,16
DERBY,2,0,0,0,0,0,6,11
EXETER,2,10,8,10,10,14,16,17
GREENWICH,2,0,0,0,0,0,UNK,14
HUDDERSFIELD,2,0,0,0,0,0,0,11
HULL,2,0,0,0,0,6,6,28
IPSWICH,2,0,0,0,UNK,8,12,11
KING'S LYNN,2,5,0,0,5,5,9,10
LEEDS,2,0,0,0,5,6,16,53
LEICESTER,2,4,3,5,5,6,8,17
LIVERPOOL,2,0,0,0,0,6,22,78
LONDON,2,40,80,200,400,575,675,865
MANCHESTER,2,0,0,0,5,9,18,70
NEWCASTLE,2,10,10,10,13,14,29,28
NORWICH,2,10,12,12,20,29,36,37
NOTTINGHAM,2,0,3,5,6,7,12,29
OLDHAM,2,0,0,0,0,0,0,12
OXFORD,2,5,0,0,9,8,8,12
PLYMOUTH,2,2,4,7,7,9,15,43
PORTSMOUTH,2,0,0,0,4,5,10,32
PRESTON,2,0,0,0,0,0,6,12
READING,2,0,0,0,0,0,7,10
SALFORD,2,0,0,0,0,0,0,14
SHEFFIELD,2,0,0,2,0,10,12,46
SHREWSBURY,2,5,0,0,0,10,13,15
STOCKPORT,2,0,0,0,0,0,3,15
SUNDERLAND,2,0,0,0,0,5,10,24
WARRINGTON,2,0,0,0,0,0,4,11
