City,Code,1500,1550,1600,1650,1700,1750,1800
BAYONNE,8,0,0,0,0,0,0,12
BEAUVAIS,8,UNK,UNK,UNK,UNK,12,12,13
BESANCON,8,8,10,11,13,17,21,24
BEZIERS,8,UNK,UNK,UNK,UNK,12,13,14
BLOIS,8,UNK,UNK,UNK,UNK,11,11,11
BORDEAUX,8,20,20,40,40,50,67,88
BOULOGNE,8,2,0,0,0,0,UNK,12
BOURGES,8,UNK,0,UNK,UNK,15,25,18
BREST,8,0,0,0,0,7,20,22
CAEN,8,UNK,UNK,UNK,UNK,27,35,34
CAHORS,8,0,0,0,0,0,0,10
CAMBRA!,8,UNK,UNK,12,12,12,12,14
CARCASSONNE,8,0,0,UNK,UNK,11,12,14
CASTRES,8,0,0,0,0,9,9,13
CHALONS-SUR-MARNE,8,UNK,UNK,UNK,UNK,11,15,11
CHALONS-SUR-SAONE,8,0,0,0,0,0,0,11
CHARTRES,8,0,0,UNK,UNK,12,10,12
CHERBOURG,8,0,0,0,0,4,5,14
CLERMONT-FERRAND,8,0,0,0,UNK,12,24,30
COLMAR,8,5,0,0,8,7,0,13
DIEPPE,8,0,0,UNK,UNK,15,18,17
DIJON,8,13,UNK,UNK,20,22,22,22
DOUAI,8,UNK,UNK,UNK,UNK,13,21,18
FALAISE,8,0,0,0,0,9,0,10
GRENOBLE,8,0,UNK,UNK,UNK,20,24,23
LA ROCHELLE,8,UNK,UNK,23,17,14,16,18
LAVAL,8,UNK,UNK,UNK,UNK,10,10,12
LE HAVRE,8,0,0,0,0,9,14,19
LE MANS,8,UNK,UNK,UNK,UNK,17,16,18
LE PUY,8,0,0,0,UNK,10,10,12
LIMOGES,8,UNK,UNK,UNK,UNK,12,18,16
LISIEUX,8,0,0,0,0,0,0,11
LORIENT,8,0,0,0,0,0,0,15
LYON,8,50,70,40,75,97,114,100
MACON,8,0,0,0,0,0,0,10
MARSEILLE,8,UNK,30,40,66,75,68,78
METZ,8,15,UNK,19,15,22,29,39
MONTAUBAN,8,UNK,UNK,UNK,UNK,18,16,19
MONTPELLIER,8,6,UNK,UNK,UNK,25,35,31
MOULINS,8,0,UNK,UNK,UNK,11,11,13
NANCY,8,0,4,8,5,15,22,29
NANTES,8,14,19,25,40,42,57,74
NEVERS,8,0,0,0,0,0,0,11
NIMES,8,0,UNK,10,15,19,30,40
