City,Code,1500,1550,1600,1650,1700,1750,1800
PADOVA,10,27,32,36,25,30,31,32
PARMA,10,19,25,33,19,35,35,34
PAVIA,10,16,13,18,19,20,24,24
PIACENZA,10,UNK,27,33,17,UNK,31,28
REGGIO,10,UNK,13,11,10,15,16,18
SAVIGLIANO,10,0,0,10,UNK,UNK,11,13
TREVISO,10,UNK,12,14,9,UNK,10,11
TRIESTE,10,UNK,UNK,UNK,UNK,UNK,UNK,24
TORINO,10,0,14,24,37,42,57,82
UDINE,10,UNK,15,14,UNK,UNK,14,16
VENEZIA,10,100,158,139,120,138,149,138
VERCELLI,10,0,9,10,0,0,8,13
VERONA,10,38,52,49,30,41,43,41
VICENZA,10,UNK,21,37,25,26,28,29
VIGEVANO,10,0,7,8,0,0,9,12
ANCONA,11,0,0,0,10,9,10,15
BOLOGNA,11,55,62,63,59,63,69,71
FERRARA,11,UNK,42,33,25,27,30,30
FIRENZE,11,70,60,70,70,72,74,81
LIVORNO,11,0,0,4,12,16,32,53
LUCCA,11,UNK,24,24,25,23,21,17
PERUGIA,11,13,20,20,16,16,14,15
PISA,11,UNK,10,15,13,13,14,15
ROMA,11,55,45,105,124,138,156,163
SIENA,11,15,10,19,19,19,15,16
VITERBO,11,12,UNK,UNK,11,12,13,13
ACIREALE,12,0,0,14,9,12,13,15
ALTA MURA,12,0,0,UNK,0,UNK,UNK,18
BARI,12,8,8,15,15,13,18,18
CAGLIARI,12,0,0,0,12,17,19,18
CALTAGIRONE,12,0,10,13,11,12,17,20
CALTANISSETA,12,0,7,10,10,15,15,16
CASTEL VETRANO,12,0,7,13,15,12,8,15
CASTROGIOVANNI,12,UNK,15,14,11,9,10,11
CATANIA,12,14,22,28,11,16,26,45
FOGGIA,12,0,0,0,0,UNK,UNK,13
GIRGENTI,12,UNK,13,10,9,11,18,18
LECCE,12,15,26,32,16,UNK,UNK,20
MARSALA,12,0,0,9,11,14,15,21
MASCALI,12,0,0,0,0,0,11,14
MAZZARINO,12,0,0,0,0,8,11,11
MESSINA,12,25,UNK,50,50,40,37,44
MODICA/POZZALLO,12,UNK,15,18,16,19,20,20
MONOPOLI,12,UNK,UNK,UNK,UNK,UNK,UNK,17
