City,Code,1500,1550,1600,1650,1700,1750,1800
NIORT,8,0,0,0,0,0,0,14
ORLEANS,8,UNK,UNK,UNK,UNK,30,37,43
PARIS,8,100,130,220,430,510,576,581
PERPIGNAN,8,0,0,0,0,0,0,13
POITIERS,8,UNK,UNK,UNK,UNK,18,18,20
REIMS,8,UNK,UNK,UNK,UNK,25,30,31
RENNES,8,12,UNK,22,UNK,30,30,28
RIOM,8,0,0,0,0,0,0,13
ROCHEFORT,8,0,0,0,0,10,0,15
ROUEN,8,40,65,60,82,64,67,81
SAINT-ETIENNE,8,0,0,0,0,0,UNK,18
SAINT-MALO,8,4,0,10,15,25,15,17
SAINT-OMER,8,11,0,0,UNK,15,UNK,20
SAINT-QUENTIN,8,0,0,0,0,0,0,10
STRASBOURG,8,20,24,28,23,30,40,48
TOULON,8,0,0,10,20,25,26,32
TOULOUSE,8,35,40,UNK,42,38,45,45
TOURS,8,UNK,UNK,UNK,UNK,30,22,23
TROYES,8,UNK,UNK,UNK,UNK,21,18,21
VERSAILLES,8,0,0,0,5,25,30,27
VIENNE,8,0,0,0,0,7,0,10
BASEL,9,9,9,10,10,11,14,16
BERN,9,3,5,0,0,0,11,11
GENEVE,9,10,12,15,12,17,23,26
ZURICH,9,5,5,7,8,11,12,10
ALESSANDRIA,10,0,8,14,0,0,12,19
ASTI,10,0,8,10,UNK,10,13,11
BERGAMO,10,UNK,18,23,UNK,25,29,24
BRESCIA,10,49,41,42,25,35,29,28
CHIOGGIA,10,0,0,9,0,UNK,19,19
COMO,10,10,10,12,9,UNK,14,14
CREMA,10,UNK,11,14,7,0,9,9
CREMONA,10,40,34,37,15,22,24,25
CUNEO,10,0,6,11,UNK,UNK,13,18
FOSSANO,10,0,9,10,UNK,UNK,12,14
GENOA,10,60,65,71,90,80,87,91
LODI,10,0,9,14,UNK,UNK,14,16
MANTUA,10,28,38,31,14,21,24,26
MILANO,10,100,69,120,100,124,124,135
MODENA,10,18,16,21,15,19,18,22
MONDOVI,10,0,0,11,0,0,7,18
MONZA,10,UNK,UNK,12,UNK,UNK,UNK,12
NICE,10,UNK,UNK,16,UNK,15,16,13
NOVARA,10,0,7,0,0,0,9,12
