City,Code,1500,1550,1600,1650,1700,1750,1800
FURTH,7,0,0,0,0,5,0,12
GOTHA,7,0,0,0,0,0,UNK,11
HALBERSTADT,7,0,0,0,0,0,UNK,12
HALLE,7,UNK,UNK,UNK,UNK,UNK,UNK,19
HAMBURG,7,14,29,40,75,70,75,100
HANAU,7,0,0,0,0,0,11,12
HANNOVER,7,0,6,7,9,11,17,17
HEIDELBERG,7,0,0,0,4,0,10,9
HILDESHEIM,7,11,0,0,0,0,0,12
KASSEL,7,0,0,6,0,10,19,18
KOLN,7,30,35,40,45,42,43,42
KONIGSBERG,7,8,14,UNK,UNK,35,60,59
LEIPZIG,7,10,10,14,11,20,35,32
LUBECK,7,24,25,23,31,UNK,UNK,23
LUNEBURG,7,0,0,0,0,0,0,10
MAGDEBURG,7,18,40,40,5,10,18,37
MAINZ,7,6,UNK,20,10,20,24,22
MANNHEIM,7,0,0,0,,13,20,22
MUNCHEN,7,13,16,20,10,21,32,34
MUNSTER,7,0,0,11,0,7,9,14
NURNBERG,7,36,40,40,25,40,30,27
POTSDAM,7,0,0,0,0,2,15,27
QUEDLINBURG,7,0,0,0,0,0,0,11
REGENSBURG,7,UNK,UNK,UNK,UNK,UNK,UNK,23
ROSTOCK,7,0,0,0,0,0,0,14
SOEST,7,12,15,10,5,5,5,5
STETTIN (SZCZECIN),7,9,13,12,6,6,12,23
STRALSUND,7,0,0,0,0,0,UNK,11
STUTTGART,7,0,10,9,5,13,17,20
ULM,7,17,19,21,14,UNK,15,13
WURZBURG,7,10,9,10,11,14,15,16
ABBEVILLE,8,UNK,UNK,UNK,UNK,15,15,18
AGEN,8,0,0,UNK,UNK,10,10,10
AIX EN PROVENCE,8,UNK,UNK,UNK,UNK,28,25,19
ALBI,8,0,0,0,UNK,10,8,10
ALENCON,8,UNK,UNK,UNK,UNK,12,12,13
AMIENS,8,UNK,UNK,UNK,27,30,33,36
ANGERS,8,UNK,UNK,25,32,27,23,25
ANGOULEME,8,0,0,0,0,0,0,14
ARLES,8,UNK,11,15,25,20,23,20
ARRAS,8,11,UNK,UNK,UNK,15,17,19
AUXERRE,8,0,0,0,0,0,0,12
AVIGNON,8,UNK,UNK,UNK,UNK,23,22,21
BAYEUX,8,0,0,6,8,7,8,10
