City,Code,1500,1550,1600,1650,1700,1750,1800
RONDA,13,UNK,8,8,UNK,UNK,UNK,15
SALAMANCA,13,UNK,20,25,15,12,UNK,9
SANTIAGO,13,4,1,1,10,UNK,UNK,25
SEGOVIA,13,UNK,22,28,16,8,0,0
SEVILLA,13,25,65,90,60,96,66,96
TOLEDO,13,UNK,30,50,20,20,UNK,25
UBEDA,13,UNK,13,19,12,10,UNK,14
UTRERA,13,0,UNK,11,11,8,UNK,0
VALENCIA,13,40,37,65,52,50,UNK,80
VALLADOLID,13,UNK,45,40,15,18,19,21
ZARAGOZA,13,UNK,18,25,30,30,UNK,40
COIMBRA,14,0,0,UNK,15,UNK,12,15
ELVAS,14,UNK,UNK,UNK,17,UNK,UNK,UNK
EVORA,14,UNK,UNK,UNK,17,UNK,15,UNK
LISBOA,14,30,98,100,130,165,148,180
PORTO,14,UNK,13,15,20,25,21,30
BRNO (BRUNN),15,0,0,0,9,UNK,15,23
GRAZ,15,5,0,8,UNK,UNK,20,31
INNSBRUCK,15,4,5,5,6,7,8,10
KLAGENFURT,15,0,0,4,0,0,7,10
LINZ,15,0,0,3,0,0,10,17
PRAHA,15,UNK,UNK,UNK,UNK,39,59,77
SALZBURG,15,UNK,UNK,10,10,13,15,11
WIEN,15,20,UNK,50,60,114,175,231
KRAKOW,16,0,0,0,0,UNK,UNK,24
POZNAN,16,0,0,0,0,0,0,16
WARSZAWA,16,0,10,15,20,15,23,63
